Field,Type,Null,Key,Default,Extra
InvoiceNo,int,YES,,NULL,
StockCode,text,YES,,NULL,
Description,text,YES,,NULL,
Quantity,int,YES,,NULL,
InvoiceDate,text,YES,,NULL,
UnitPrice,double,YES,,NULL,
CustomerID,text,YES,,NULL,
Country,text,YES,,NULL,
Discount,double,YES,,NULL,
PaymentMethod,text,YES,,NULL,
ShippingCost,text,YES,,NULL,
Category,text,YES,,NULL,
SalesChannel,text,YES,,NULL,
ReturnStatus,text,YES,,NULL,
ShipmentProvider,text,YES,,NULL,
WarehouseLocation,text,YES,,NULL,
OrderPriority,text,YES,,NULL,
TotalPrice,double,YES,,NULL,
Revenue,double,YES,,NULL,
